playid,team,host,m0_cnt,w0,d0,l0,m0_hit,m0_mis,m1_cnt,w1,d1,l1,m1_hit,m1_mis,m_dval,m_num,m_r,m_p
25006,奥格斯堡,1,10,3,4,3,16,14,15.0,6.0,5.0,4.0,29.0,25.0,4.0,23.0,11.0,40%
25006,斯图加特,0,10,5,2,3,23,17,15.0,4.0,4.0,7.0,17.0,32.0,-15.0,16.0,13.0,27%
25006,威尼斯,1,10,2,3,5,11,16,17.0,12.0,4.0,1.0,45.0,15.0,30.0,40.0,3.0,71%
25006,国际米兰,0,10,8,0,2,26,5,19.0,3.0,5.0,11.0,18.0,32.0,-14.0,14.0,19.0,16%
25006,博洛尼亚,1,10,5,2,3,18,12,19.0,6.0,5.0,8.0,26.0,24.0,2.0,23.0,10.0,32%
25006,罗马,0,10,5,2,3,21,10,17.0,7.0,7.0,3.0,25.0,21.0,4.0,28.0,8.0,42%
25006,那不勒斯,1,10,6,1,3,13,10,19.0,6.0,1.0,12.0,24.0,42.0,-18.0,19.0,17.0,32%
25006,维罗纳,0,10,3,1,6,11,21,19.0,14.0,2.0,3.0,30.0,12.0,18.0,44.0,1.0,74%
25006,马竞,1,10,10,0,0,28,7,18.0,6.0,7.0,5.0,23.0,27.0,-4.0,25.0,11.0,34%
25006,奥萨苏纳,0,10,4,4,2,17,14,18.0,12.0,5.0,1.0,33.0,12.0,21.0,41.0,2.0,67%
25006,勒阿弗尔,1,10,2,0,8,5,20,16.0,6.0,6.0,4.0,19.0,15.0,4.0,24.0,7.0,38%
25006,朗斯,0,10,4,2,4,13,12,16.0,4.0,0.0,12.0,12.0,34.0,-22.0,12.0,17.0,25%
25006,蒙彼利埃,1,10,1,2,7,7,22,16.0,4.0,4.0,8.0,16.0,26.0,-10.0,16.0,15.0,25%
25006,昂热,0,10,5,1,4,12,13,16.0,2.0,3.0,11.0,15.0,39.0,-24.0,9.0,18.0,13%
25006,图卢兹,1,10,6,2,2,12,7,16.0,5.0,5.0,6.0,28.0,28.0,0.0,20.0,11.0,32%
25006,斯特拉斯,0,10,4,1,5,17,16,16.0,7.0,3.0,6.0,18.0,17.0,1.0,24.0,8.0,44%
25006,巴黎圣曼,1,10,6,3,1,20,8,16.0,5.0,1.0,10.0,15.0,35.0,-20.0,16.0,16.0,32%
25006,圣埃蒂安,0,10,3,0,7,9,21,16.0,12.0,4.0,0.0,44.0,14.0,30.0,40.0,1.0,75%
25006,格罗宁根,1,10,3,1,6,10,20,17.0,2.0,3.0,12.0,10.0,37.0,-27.0,9.0,17.0,12%
25006,阿尔梅勒,0,10,2,1,7,8,21,16.0,4.0,4.0,8.0,14.0,26.0,-12.0,16.0,14.0,25%
25006,费耶诺德,1,10,6,2,2,26,18,17.0,11.0,3.0,3.0,34.0,28.0,6.0,36.0,3.0,65%
25006,乌德勒支,0,10,6,2,2,29,19,17.0,10.0,5.0,2.0,40.0,21.0,19.0,35.0,4.0,59%
25005,莱切斯特,1,10,1,1,8,9,26,,,,,,,,,,
25005,巡游者,0,10,6,3,1,16,8,,,,,,,,,,
25005,诺维奇,1,10,5,2,3,18,13,,,,,,,,,,
25005,布赖顿,0,10,2,6,2,13,15,,,,,,,,,,
25005,伯恩茅斯,1,10,5,3,2,17,11,,,,,,,,,,
25005,西布罗,0,10,3,5,2,14,10,,,,,,,,,,
25005,海登海姆,1,10,1,1,8,10,27,15.0,4.0,5.0,6.0,14.0,19.0,-5.0,17.0,12.0,27%
25005,柏林联合,0,10,0,3,7,7,19,15.0,3.0,1.0,11.0,18.0,33.0,-15.0,10.0,16.0,20%
25005,霍芬海姆,1,10,1,5,4,9,17,15.0,6.0,3.0,6.0,32.0,28.0,4.0,21.0,11.0,40%
25005,沃夫斯堡,0,10,5,3,2,20,12,15.0,3.0,5.0,7.0,20.0,28.0,-8.0,14.0,15.0,20%
25005,圣保利,1,10,3,1,6,11,15,15.0,8.0,3.0,4.0,35.0,23.0,12.0,27.0,3.0,54%
25005,法兰克福,0,10,5,1,4,17,16,15.0,4.0,2.0,9.0,12.0,19.0,-7.0,14.0,14.0,27%
25005,门兴,1,10,5,3,2,20,12,15.0,11.0,3.0,1.0,47.0,13.0,34.0,36.0,1.0,74%
25005,拜仁,0,10,7,1,2,22,8,15.0,7.0,3.0,5.0,25.0,20.0,5.0,24.0,10.0,47%
25005,乌迪内斯,1,10,2,3,5,9,16,18.0,13.0,2.0,3.0,43.0,20.0,23.0,41.0,2.0,73%
25005,亚特兰大,0,10,7,1,2,26,12,19.0,7.0,4.0,8.0,23.0,28.0,-5.0,25.0,9.0,37%
25005,都灵,1,10,1,4,5,4,10,18.0,7.0,11.0,0.0,30.0,15.0,15.0,32.0,5.0,39%
25005,尤文图斯,0,10,3,6,1,16,10,19.0,5.0,6.0,8.0,19.0,24.0,-5.0,21.0,11.0,27%
25005,AC米兰,1,10,7,2,1,22,10,19.0,4.0,5.0,10.0,18.0,32.0,-14.0,17.0,18.0,22%
25005,卡利亚里,0,10,2,2,6,10,19,17.0,7.0,6.0,4.0,26.0,17.0,9.0,27.0,8.0,42%
25005,巴利亚多,1,10,2,2,6,9,19,18.0,6.0,7.0,5.0,21.0,22.0,-1.0,25.0,10.0,34%
25005,贝蒂斯,0,10,5,2,3,14,13,18.0,3.0,3.0,12.0,12.0,37.0,-25.0,12.0,20.0,17%
25005,塞维利亚,1,10,4,1,5,15,17,18.0,2.0,6.0,10.0,17.0,28.0,-11.0,12.0,20.0,12%
25005,巴伦西亚,0,10,4,2,4,15,12,18.0,6.0,4.0,8.0,20.0,27.0,-7.0,22.0,14.0,34%
25005,兰斯,1,10,2,3,5,10,12,16.0,7.0,6.0,3.0,31.0,21.0,10.0,27.0,6.0,44%
25005,尼斯,0,10,3,4,3,17,21,16.0,5.0,5.0,6.0,21.0,21.0,0.0,20.0,11.0,32%
25005,雷恩,1,10,4,1,5,15,13,16.0,10.0,3.0,3.0,37.0,19.0,18.0,33.0,2.0,63%
25005,马赛,0,10,7,1,2,25,11,16.0,5.0,2.0,9.0,22.0,23.0,-1.0,17.0,13.0,32%
25004,维拉,1,10,5,2,3,14,15,,,,,,,,,,
25004,西汉姆联,0,10,3,3,4,11,20,,,,,,,,,,
25004,多特蒙德,1,10,5,3,2,19,11,15.0,9.0,5.0,1.0,37.0,21.0,16.0,32.0,2.0,60%
25004,勒沃库森,0,10,9,1,0,26,6,15.0,7.0,4.0,4.0,28.0,22.0,6.0,25.0,6.0,47%
25004,拉齐奥,1,10,5,2,3,14,15,18.0,4.0,6.0,8.0,20.0,30.0,-10.0,18.0,16.0,23%
25004,科莫,0,10,2,3,5,9,15,19.0,11.0,2.0,6.0,33.0,27.0,6.0,35.0,4.0,58%
25004,巴列卡诺,1,10,4,3,3,19,14,18.0,7.0,3.0,8.0,27.0,28.0,-1.0,24.0,11.0,39%
25004,塞尔塔,0,10,6,2,2,25,11,18.0,5.0,7.0,6.0,20.0,21.0,-1.0,22.0,12.0,28%
25004,南特,1,10,2,3,5,13,17,16.0,9.0,3.0,4.0,26.0,16.0,10.0,30.0,3.0,57%
25004,摩纳哥,0,10,4,1,5,17,17,16.0,3.0,6.0,7.0,18.0,25.0,-7.0,15.0,16.0,19%
25004,欧塞尔,1,10,4,3,3,15,12,16.0,7.0,7.0,2.0,26.0,16.0,10.0,28.0,4.0,44%
25004,里尔,0,10,5,5,0,17,11,16.0,6.0,3.0,7.0,24.0,26.0,-2.0,21.0,9.0,38%
25004,阿纳西,1,10,5,4,1,15,8,17.0,8.0,2.0,7.0,27.0,23.0,4.0,26.0,7.0,48%
25004,甘冈,0,10,7,1,2,22,9,17.0,8.0,6.0,3.0,25.0,19.0,6.0,30.0,5.0,48%
25004,拉瓦勒,1,10,4,5,1,14,7,17.0,6.0,3.0,8.0,18.0,28.0,-10.0,21.0,13.0,36%
25004,圣红星,0,10,5,2,3,17,13,17.0,8.0,4.0,5.0,27.0,17.0,10.0,28.0,6.0,48%
25004,波城,1,10,3,3,4,9,11,17.0,10.0,2.0,5.0,27.0,22.0,5.0,32.0,2.0,59%
25004,敦刻尔克,0,10,6,2,2,14,9,17.0,6.0,5.0,6.0,18.0,19.0,-1.0,23.0,8.0,36%
25004,罗德兹,1,10,3,5,2,21,17,17.0,6.0,3.0,8.0,18.0,19.0,-1.0,21.0,12.0,36%
25004,特鲁瓦,0,10,7,2,1,20,3,17.0,5.0,5.0,7.0,29.0,28.0,1.0,20.0,14.0,30%
25004,福图纳,1,10,5,2,3,22,16,17.0,7.0,4.0,6.0,30.0,27.0,3.0,25.0,7.0,42%
25004,前进之鹰,0,10,3,5,2,21,14,17.0,7.0,4.0,6.0,25.0,25.0,0.0,25.0,8.0,42%
25004,SBV精英,1,10,6,4,0,15,4,20.0,10.0,6.0,4.0,37.0,29.0,8.0,36.0,3.0,50%
25004,多德勒支,0,10,5,2,3,22,18,20.0,11.0,6.0,3.0,39.0,20.0,19.0,39.0,2.0,55%
25004,埃因FC,1,10,4,2,4,22,19,20.0,12.0,4.0,4.0,44.0,25.0,19.0,40.0,1.0,60%
25004,福伦丹,0,10,6,3,1,21,8,20.0,7.0,5.0,8.0,28.0,33.0,-5.0,26.0,12.0,35%
25003,富勒姆,1,10,4,5,1,16,13,19.0,3.0,6.0,10.0,18.0,33.0,-15.0,15.0,18.0,16%
25003,伊普斯,0,10,3,2,5,9,13,19.0,7.0,8.0,4.0,28.0,25.0,3.0,29.0,9.0,37%
25003,利物浦,1,10,8,2,0,29,12,19.0,6.0,4.0,9.0,21.0,26.0,-5.0,22.0,14.0,32%
25003,曼联,0,10,4,0,6,16,20,18.0,14.0,3.0,1.0,45.0,17.0,28.0,45.0,1.0,78%
25003,狼队,1,10,4,2,4,19,17,19.0,11.0,4.0,4.0,26.0,19.0,7.0,37.0,3.0,58%
25003,诺丁汉,0,10,7,0,3,15,12,19.0,4.0,4.0,11.0,31.0,42.0,-11.0,16.0,17.0,22%
25003,莱切,1,10,3,2,5,8,13,18.0,4.0,7.0,7.0,16.0,27.0,-11.0,19.0,13.0,23%
25003,热那亚,0,10,3,4,3,9,10,18.0,4.0,4.0,10.0,11.0,31.0,-20.0,16.0,18.0,23%
25003,都灵,1,10,2,3,5,5,10,18.0,4.0,6.0,8.0,25.0,34.0,-9.0,18.0,15.0,23%
25003,帕尔马,0,10,3,2,5,14,21,18.0,5.0,5.0,8.0,19.0,24.0,-5.0,20.0,12.0,28%
25003,罗马,1,10,4,2,4,21,13,18.0,11.0,2.0,5.0,33.0,25.0,8.0,35.0,4.0,62%
25003,拉齐奥,0,10,6,2,2,15,13,18.0,5.0,5.0,8.0,24.0,24.0,0.0,20.0,11.0,28%
