index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
23110,2023-09-03,3,0,1,0,3,3,1,3,3,0,0,3,3,3
23109,2023-09-02,0,1,1,3,3,0,3,0,1,1,0,0,3,0
23108,2023-09-01,3,1,3,3,0,1,3,0,1,0,0,3,1,1
23107,2023-08-28,0,0,0,1,3,1,0,3,0,0,3,0,3,1
23106,2023-08-27,1,3,0,1,0,1,0,0,0,3,3,1,3,0
23105,2023-08-25,0,1,0,1,3,1,0,0,3,1,3,0,0,1
23104,2023-08-21,3,3,3,3,1,0,0,3,3,3,1,1,3,1
23103,2023-08-20,3,0,0,3,3,3,0,3,3,0,3,1,0,1
23102,2023-08-19,3,1,0,0,3,1,3,0,3,1,0,3,3,3
23101,2023-08-18,3,3,1,0,3,0,1,3,0,3,3,1,1,3
23100,2023-08-14,1,1,0,0,1,0,1,0,3,3,3,3,0,1
23099,2023-08-13,1,3,0,0,3,0,1,1,0,3,1,3,3,0
23098,2023-08-13,1,3,*,3,3,0,3,0,3,3,3,3,3,3
23097,2023-08-07,3,1,0,3,1,1,1,3,3,3,3,0,0,3
23096,2023-08-06,3,1,3,1,0,3,3,3,3,1,0,3,0,0
23095,2023-08-04,3,0,0,1,3,3,0,3,0,1,1,1,0,0
23094,2023-08-03,0,0,0,3,0,1,3,0,1,3,3,1,1,3
23093,2023-08-01,3,0,3,1,3,0,3,3,0,0,3,3,3,0
23092,2023-07-30,3,3,3,0,3,0,0,1,3,3,3,0,0,0
23091,2023-07-28,3,3,3,0,1,3,3,1,0,3,3,1,1,3
23090,2023-07-25,3,3,3,3,1,3,1,0,3,3,0,3,0,3
23089,2023-07-23,3,0,3,3,1,0,1,0,0,3,3,0,3,3
23088,2023-07-21,3,3,0,3,3,0,3,0,0,0,3,0,0,3
23087,2023-07-17,1,0,3,1,3,0,0,0,0,3,3,3,0,3
23086,2023-07-14,3,3,1,1,1,1,3,3,1,1,1,3,3,1
